month,average_price
2015-01,1875.7755968336282
2015-02,1814.3226577998182
2015-03,1586.0668917088412
2015-04,1569.6675074340526
2015-05,1641.4016321341478
2015-06,1469.158158215086
2015-07,1329.8576892229348
2015-08,1322.3608290638824
2015-09,1373.2231517003934
2015-10,1212.4450860318007
2015-11,1026.2079090063287
2015-12,856.6650370612109
2016-01,931.6214835835372
2016-02,921.373308608599
2016-03,713.672051308143
2016-04,667.0155552498693
2016-05,659.0334547798394
2016-06,611.9166140535887
2016-07,667.8974260806965
2016-08,844.7899189864377
2016-09,917.1690264268018
2016-10,862.2065358337262
2016-11,884.1825118669609
2016-12,974.827125379263
2017-01,901.4964516010951
2017-02,800.5776765259983
2017-03,779.3137287211531
2017-04,781.572311051556
2017-05,644.8690551553389
2017-06,609.554980459561
2017-07,449.82150932678655
2017-08,394.99481123669483
2017-09,356.3391869042246
2017-10,355.0217848438447
2017-11,301.31464482644145
2017-12,225.4137354421863
2018-01,225.52401306471057
2018-02,213.57759450903563
2018-03,156.71945175010194
2018-04,122.75410043337801
2018-05,116.31572042305282
2018-06,111.32882545296738
2018-07,117.40516052620693
2018-08,113.23554545942079
2018-09,104.63242691803791
2018-10,96.3208112965594
2018-11,92.2398165975623
2018-12,95.09024801378068
2019-01,91.21859342584618
2019-02,71.8286985272194
2019-03,63.851761379342896
2019-04,67.05229568219714
2019-05,59.857027392593785
2019-06,46.01718193387158
2019-07,49.095816471825636
2019-08,51.85596472270016
2019-09,51.37465114428923
2019-10,36.163834139665575
2019-11,28.61428039482877
2019-12,28.94457690415592
